,x,y,r
1236618,0.1529436814039309,0.29438561314562056,1.6041665
1239622,0.1555243974048666,0.29872463228449087,1.5625
1242617,0.1581708987964806,0.2939441158357561,1.6041665
1238613,0.15493395204063623,0.28964176083334525,1.6041665
1236608,0.15283397543311916,0.28500307921458545,1.6041665
1241608,0.15743914373964643,0.28461495495753547,1.6041665
1244612,0.16036826451646785,0.2890133719070602,1.6041665
1247617,0.16347182638003727,0.29334512505430393,1.6041665
1245622,0.16184036778711886,0.2981714621256606,1.5625
1252621,0.16788641756059372,0.2977594297962945,1.5625
1259622,0.1743580195637541,0.29854710720918126,1.5625
1265621,0.18010789185989332,0.2972261766657596,1.6041665
1269624,0.18472337195480001,0.3005325370341196,0.7708335
1271619,0.18664384706090173,0.29586163107667485,
1272614,0.18748406685476132,0.2902380304484196,
1267615,0.18231833827439858,0.2921291933412581,
1261616,0.17671750951214737,0.29304462235462053,1.6041665
1256617,0.17217459385398315,0.29384830213539953,1.6041665
1252615,0.16822947548324582,0.29210436866553047,
1250611,0.16596107299886864,0.28800457346910524,1.6041665
1252606,0.16828743155311773,0.28341292506289717,1.6041665
1252601,0.16845471167571335,0.2781438303519853,1.6041665
1257603,0.17309931302483914,0.280135724140565,1.6041665
1261606,0.1771405792742601,0.28333151922241473,1.6041665
1256611,0.17225852035384728,0.28738705966037936,1.6041665
1262612,0.17757090548004723,0.2884167585657066,1.6041665
1267609,0.18204383464856383,0.28636996405195997,1.6041665
1271609,0.18665053062744386,0.2857007480820551,1.6041665
1268604,0.18295957874434893,0.2809827229804888,1.6041665
1273604,0.18823759124261838,0.28148014264640586,1.6041665
1273600,0.18792241334039886,0.2771855978688971,1.6041665
1273595,0.1885962123273611,0.273011806042899,1.6041665
1274591,0.18914378738620033,0.26888098000181415,1.6041665
1275587,0.1902895416505545,0.26486085291857026,1.6041665
1279591,0.1938998133375346,0.2692019821548773,1.6041665
1284590,0.19843375392062793,0.2678860833822666,1.6041665
1288592,0.202756302841948,0.26981811151053375,1.6041665
1290587,0.20405835708386458,0.26473077161775727,1.6041665
1285585,0.19946168645479775,0.26274279248958077,1.6041665
1288580,0.2021420830767322,0.25864232893650135,1.6041665
1290576,0.20417140483794738,0.25425685901016376,1.6041665
1289571,0.20325518334455225,0.24935393781418733,1.6041665
1287566,0.20131647164974292,0.244732872167242,1.6041665
1283569,0.19738176054690684,0.24789190763311042,1.6041665
1284575,0.19869259890484986,0.2530043586401807,
1282580,0.19681489862461748,0.25793940869532006,1.6041665
1280586,0.1950060390797685,0.26366316734218437,1.6041665
